127.0.0.1 - - [29/Jan/2023:19:04:01 +0900] "GET / HTTP/1.1" 200 11428
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:04:02 +0900] "GET /ykjkApp/resources/css/loginModal.css HTTP/1.1" 200 1779
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:04:02 +0900] "GET /ykjkApp/resources/css/header.css HTTP/1.1" 200 5011
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:04:02 +0900] "GET /ykjkApp/resources/js/jquery-3.6.0.min.js HTTP/1.1" 200 89503
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:04:02 +0900] "GET /ykjkApp/resources/images/logo_header.png HTTP/1.1" 200 19574
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:04:02 +0900] "GET /ykjkApp/ HTTP/1.1" 200 30773
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:04:02 +0900] "GET /ykjkApp/resources/css/main.css HTTP/1.1" 200 2196
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:04:02 +0900] "GET /ykjkApp/resources/css/footer.css HTTP/1.1" 200 1170
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:04:02 +0900] "GET /ykjkApp/resources/asset/js/jquery-3.6.0.min.js HTTP/1.1" 200 89503
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:04:03 +0900] "GET /ykjkApp/resources/images/main_video_b.mp4 HTTP/1.1" 206 49152
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:04:03 +0900] "GET /ykjkApp/resources/images/main_video_b.mp4 HTTP/1.1" 206 8339037
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:04:03 +0900] "POST /ykjkApp/product/selectProductImages.do HTTP/1.1" 200 1838
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:04:03 +0900] "GET /ykjkApp/resources/images/productImgUpload/30-1.jpg HTTP/1.1" 200 140135
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:04:03 +0900] "GET /ykjkApp/resources/images/productImgUpload/33-1.jpg HTTP/1.1" 200 38702
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:04:03 +0900] "GET /ykjkApp/resources/images/productImgUpload/31-1.jpg HTTP/1.1" 200 126925
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:04:03 +0900] "GET /ykjkApp/resources/images/productImgUpload/36-1.jpg HTTP/1.1" 200 25428
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:04:03 +0900] "GET /ykjkApp/resources/images/productImgUpload/35-1.jpg HTTP/1.1" 200 63943
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:04:03 +0900] "GET /ykjkApp/resources/images/productImgUpload/34-1.jpg HTTP/1.1" 200 57166
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:04:03 +0900] "GET /ykjkApp/resources/images/productImgUpload/20210623_012913416_760.jpg HTTP/1.1" 200 26455
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:04:03 +0900] "GET /ykjkApp/resources/images/productImgUpload/20210623_013530916_97.jpg HTTP/1.1" 200 59889
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:04:03 +0900] "GET /ykjkApp/resources/images/productImgUpload/20210623_013620443_662.jpg HTTP/1.1" 200 24428
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:04:03 +0900] "GET /ykjkApp/resources/images/productImgUpload/20210623_013819099_870.png HTTP/1.1" 200 80199
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:04:18 +0900] "GET /ykjkApp/resources/images/logo_dark.png HTTP/1.1" 200 6084
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:28:48 +0900] "GET /ykjkApp/resources/images/main_video_b.mp4 HTTP/1.1" 206 4505181
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:28:52 +0900] "GET /ykjkApp/resources/images/main_video_b.mp4 HTTP/1.1" 206 3801088
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:29:42 +0900] "GET /ykjkApp/product/productList.do?pType=1 HTTP/1.1" 200 45357
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:29:42 +0900] "GET /ykjkApp/resources/css/productList.css HTTP/1.1" 200 4620
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:29:42 +0900] "GET /ykjkApp/resources/images/productImgUpload/32-1.jpg HTTP/1.1" 200 79142
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:29:42 +0900] "GET /ykjkApp/resources/images/productImgUpload/20210623_013144722_475.jpg HTTP/1.1" 200 65439
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:29:42 +0900] "GET /ykjkApp/resources/images/productImgUpload/20210623_013034580_330.jpg HTTP/1.1" 200 27167
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:29:42 +0900] "GET /ykjkApp/resources/images/productImgUpload/20210623_013309953_258.jpg HTTP/1.1" 200 25428
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:29:42 +0900] "GET /ykjkApp/resources/images/productImgUpload/20210623_014005514_237.png HTTP/1.1" 200 123973
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:29:43 +0900] "GET /ykjkApp/product/productList.do?pType=2 HTTP/1.1" 200 43108
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:29:43 +0900] "GET /ykjkApp/resources/images/productImgUpload/20210623_113623135_353.png HTTP/1.1" 200 399774
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:29:43 +0900] "GET /ykjkApp/resources/images/productImgUpload/20210623_093245794_964.png HTTP/1.1" 200 35882
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:29:43 +0900] "GET /ykjkApp/resources/images/productImgUpload/1-1.png HTTP/1.1" 200 526683
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:29:43 +0900] "GET /ykjkApp/resources/images/productImgUpload/2-1.png HTTP/1.1" 200 277136
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:29:43 +0900] "GET /ykjkApp/resources/images/productImgUpload/3-1.png HTTP/1.1" 200 289260
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:29:43 +0900] "GET /ykjkApp/resources/images/productImgUpload/20210623_093807628_109.png HTTP/1.1" 200 88939
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:29:43 +0900] "GET /ykjkApp/resources/images/productImgUpload/20210623_015448918_576.png HTTP/1.1" 200 183724
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:29:43 +0900] "GET /ykjkApp/resources/images/productImgUpload/6-1.png HTTP/1.1" 200 573047
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:29:43 +0900] "GET /ykjkApp/resources/images/productImgUpload/4-1.png HTTP/1.1" 200 335490
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:29:43 +0900] "GET /ykjkApp/resources/images/productImgUpload/20210623_093422270_615.png HTTP/1.1" 200 155092
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:29:43 +0900] "GET /ykjkApp/resources/images/productImgUpload/20210623_015311502_540.png HTTP/1.1" 200 223391
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:29:43 +0900] "GET /ykjkApp/resources/images/productImgUpload/5-1.png HTTP/1.1" 200 725598
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:29:44 +0900] "GET /ykjkApp/product/productList.do?pType=1 HTTP/1.1" 200 45357
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:29:47 +0900] "GET /ykjkApp/product/productDetail.do?product_no=6&pType=1 HTTP/1.1" 200 50877
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:29:47 +0900] "GET /ykjkApp/resources/js/jquery.zoom.js HTTP/1.1" 200 6231
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:29:47 +0900] "GET /ykjkApp/resources/css/productDetail.css HTTP/1.1" 200 4325
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:29:47 +0900] "GET /ykjkApp/resources/js/jquery.Wheelzoom.js HTTP/1.1" 200 6220
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:29:47 +0900] "GET /ykjkApp/resources/images/productImgUpload/35-4.jpg HTTP/1.1" 200 42172
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:29:47 +0900] "GET /ykjkApp/resources/images/xx.png HTTP/1.1" 200 434
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:29:47 +0900] "GET /ykjkApp/resources/images/productImgUpload/35-2.jpg HTTP/1.1" 200 93152
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:29:47 +0900] "GET /ykjkApp/resources/images/productImgUpload/35-3.jpg HTTP/1.1" 200 230840
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:29:47 +0900] "GET /ykjkApp/resources/images/productImgUpload/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Jan/2023:19:30:24 +0900] "GET /ykjkApp/product/productList.do?pType=1 HTTP/1.1" 200 45357
0:0:0:0:0:0:0:1 - - [29/Jan/2023:22:36:20 +0900] "GET /ykjkApp/product/productList.do?pType=1 HTTP/1.1" 200 45357
0:0:0:0:0:0:0:1 - - [29/Jan/2023:22:36:21 +0900] "GET /ykjkApp/product/productList.do?pType=1 HTTP/1.1" 200 45357
0:0:0:0:0:0:0:1 - - [29/Jan/2023:22:36:48 +0900] "GET /ykjkApp/product/productList.do?categoryNo=1&pType=2&sortVal= HTTP/1.1" 200 37714
0:0:0:0:0:0:0:1 - - [29/Jan/2023:22:36:48 +0900] "GET /ykjkApp/resources/images/productImgUpload/20210623_154626634_554.png HTTP/1.1" 200 575914
0:0:0:0:0:0:0:1 - - [29/Jan/2023:22:37:02 +0900] "GET /ykjkApp/product/productList.do?bName=YOU%EB%AA%85&pType=1&categoryNo=0&sortVal= HTTP/1.1" 200 35675
0:0:0:0:0:0:0:1 - - [29/Jan/2023:22:37:03 +0900] "GET /ykjkApp/product/productList.do?bName=%EC%97%90%EC%9D%B4%EC%B9%98%EC%A4%80&pType=1&categoryNo=0&sortVal= HTTP/1.1" 200 35695
0:0:0:0:0:0:0:1 - - [29/Jan/2023:22:37:05 +0900] "GET /ykjkApp/product/productList.do?bName=%EC%A0%9C%EC%9D%B4%ED%98%84&pType=1&categoryNo=0&sortVal= HTTP/1.1" 200 35676
