127.0.0.1 - - [04/Feb/2023:14:37:12 +0900] "GET / HTTP/1.1" 200 11428
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:37:13 +0900] "GET /ykjkApp/ HTTP/1.1" 200 30773
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:37:13 +0900] "GET /ykjkApp/resources/css/loginModal.css HTTP/1.1" 200 1779
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:37:13 +0900] "GET /ykjkApp/resources/css/header.css HTTP/1.1" 200 5011
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:37:13 +0900] "GET /ykjkApp/resources/js/jquery-3.6.0.min.js HTTP/1.1" 200 89503
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:37:13 +0900] "GET /ykjkApp/resources/css/main.css HTTP/1.1" 200 2196
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:37:13 +0900] "GET /ykjkApp/resources/css/footer.css HTTP/1.1" 200 1170
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:37:13 +0900] "GET /ykjkApp/resources/images/logo_header.png HTTP/1.1" 200 19574
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:37:13 +0900] "GET /ykjkApp/resources/asset/js/jquery-3.6.0.min.js HTTP/1.1" 200 89503
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:37:13 +0900] "GET /ykjkApp/resources/images/main_video_b.mp4 HTTP/1.1" 206 8339037
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:37:14 +0900] "POST /ykjkApp/product/selectProductImages.do HTTP/1.1" 200 1838
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:37:14 +0900] "GET /ykjkApp/resources/images/productImgUpload/30-1.jpg HTTP/1.1" 200 140135
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:37:14 +0900] "GET /ykjkApp/resources/images/productImgUpload/31-1.jpg HTTP/1.1" 200 126925
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:37:14 +0900] "GET /ykjkApp/resources/images/productImgUpload/33-1.jpg HTTP/1.1" 200 38702
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:37:14 +0900] "GET /ykjkApp/resources/images/productImgUpload/34-1.jpg HTTP/1.1" 200 57166
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:37:14 +0900] "GET /ykjkApp/resources/images/productImgUpload/36-1.jpg HTTP/1.1" 200 25428
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:37:14 +0900] "GET /ykjkApp/resources/images/productImgUpload/35-1.jpg HTTP/1.1" 200 63943
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:37:14 +0900] "GET /ykjkApp/resources/images/productImgUpload/20210623_012913416_760.jpg HTTP/1.1" 200 26455
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:37:14 +0900] "GET /ykjkApp/resources/images/productImgUpload/20210623_013530916_97.jpg HTTP/1.1" 200 59889
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:37:14 +0900] "GET /ykjkApp/resources/images/productImgUpload/20210623_013819099_870.png HTTP/1.1" 200 80199
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:37:14 +0900] "GET /ykjkApp/resources/images/productImgUpload/20210623_013620443_662.jpg HTTP/1.1" 200 24428
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:44:15 +0900] "GET /ykjkApp/resources/css/productList.css HTTP/1.1" 200 4620
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:44:15 +0900] "GET /ykjkApp/product/productList.do?pType=1 HTTP/1.1" 200 45357
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:44:15 +0900] "GET /ykjkApp/resources/images/productImgUpload/20210623_013144722_475.jpg HTTP/1.1" 200 65439
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:44:15 +0900] "GET /ykjkApp/resources/images/productImgUpload/32-1.jpg HTTP/1.1" 200 79142
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:44:15 +0900] "GET /ykjkApp/resources/images/productImgUpload/20210623_013034580_330.jpg HTTP/1.1" 200 27167
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:44:15 +0900] "GET /ykjkApp/resources/images/productImgUpload/20210623_013309953_258.jpg HTTP/1.1" 200 25428
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:44:15 +0900] "GET /ykjkApp/resources/images/productImgUpload/20210623_014005514_237.png HTTP/1.1" 200 123973
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:44:38 +0900] "GET /ykjkApp/product/productDetail.do?product_no=2&pType=1 HTTP/1.1" 200 51189
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:44:38 +0900] "GET /ykjkApp/resources/js/jquery.Wheelzoom.js HTTP/1.1" 200 6220
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:44:38 +0900] "GET /ykjkApp/resources/css/productDetail.css HTTP/1.1" 200 4325
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:44:38 +0900] "GET /ykjkApp/resources/js/jquery.zoom.js HTTP/1.1" 200 6231
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:44:38 +0900] "GET /ykjkApp/resources/images/productImgUpload/31-2.jpg HTTP/1.1" 200 136665
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:44:38 +0900] "GET /ykjkApp/resources/images/productImgUpload/31-3.jpg HTTP/1.1" 200 152236
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:44:38 +0900] "GET /ykjkApp/resources/images/productImgUpload/31-4.jpg HTTP/1.1" 200 141489
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:44:38 +0900] "GET /ykjkApp/resources/images/productImgUpload/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:44:38 +0900] "GET /ykjkApp/resources/images/xx.png HTTP/1.1" 200 434
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:45:06 +0900] "GET /ykjkApp/product/productList.do?categoryNo=1&pType=1&bName=All&sortVal= HTTP/1.1" 200 39264
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:45:07 +0900] "GET /ykjkApp/resources/images/productImgUpload/20210623_012348551_734.jpg HTTP/1.1" 200 53033
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:45:07 +0900] "GET /ykjkApp/resources/images/productImgUpload/20210623_012819830_514.jpg HTTP/1.1" 200 27226
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:45:09 +0900] "GET /ykjkApp/product/productList.do?categoryNo=3&pType=1&bName=All&sortVal= HTTP/1.1" 200 36537
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:45:11 +0900] "GET /ykjkApp/product/productList.do?categoryNo=2&pType=1&bName=All&sortVal= HTTP/1.1" 200 40042
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:45:13 +0900] "GET /ykjkApp/product/productList.do?categoryNo=4&pType=1&bName=All&sortVal= HTTP/1.1" 200 38309
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:45:13 +0900] "GET /ykjkApp/resources/images/productImgUpload/20210623_014131572_72.png HTTP/1.1" 200 130539
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:45:13 +0900] "GET /ykjkApp/resources/images/productImgUpload/20210623_013429250_245.jpg HTTP/1.1" 200 37222
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:45:13 +0900] "GET /ykjkApp/resources/images/productImgUpload/20210623_153308530_507.jpg HTTP/1.1" 200 37918
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:45:15 +0900] "GET /ykjkApp/product/productList.do?categoryNo=5&pType=1&bName=All&sortVal= HTTP/1.1" 200 36566
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:45:22 +0900] "GET /ykjkApp/product/productList.do?categoryNo=1&pType=1&bName=All&sortVal= HTTP/1.1" 200 39264
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:45:23 +0900] "GET /ykjkApp/product/productList.do?categoryNo=2&pType=1&bName=All&sortVal= HTTP/1.1" 200 40042
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:45:40 +0900] "GET /ykjkApp/product/productList.do?pType=2 HTTP/1.1" 200 43108
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:45:40 +0900] "GET /ykjkApp/resources/images/productImgUpload/20210623_113623135_353.png HTTP/1.1" 200 399774
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:45:40 +0900] "GET /ykjkApp/resources/images/productImgUpload/20210623_093245794_964.png HTTP/1.1" 200 35882
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:45:40 +0900] "GET /ykjkApp/resources/images/productImgUpload/20210623_093807628_109.png HTTP/1.1" 200 88939
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:45:40 +0900] "GET /ykjkApp/resources/images/productImgUpload/2-1.png HTTP/1.1" 200 277136
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:45:40 +0900] "GET /ykjkApp/resources/images/productImgUpload/3-1.png HTTP/1.1" 200 289260
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:45:40 +0900] "GET /ykjkApp/resources/images/productImgUpload/1-1.png HTTP/1.1" 200 526683
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:45:40 +0900] "GET /ykjkApp/resources/images/productImgUpload/20210623_015448918_576.png HTTP/1.1" 200 183724
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:45:40 +0900] "GET /ykjkApp/resources/images/productImgUpload/6-1.png HTTP/1.1" 200 573047
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:45:40 +0900] "GET /ykjkApp/resources/images/productImgUpload/4-1.png HTTP/1.1" 200 335490
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:45:40 +0900] "GET /ykjkApp/resources/images/productImgUpload/20210623_093422270_615.png HTTP/1.1" 200 155092
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:45:40 +0900] "GET /ykjkApp/resources/images/productImgUpload/5-1.png HTTP/1.1" 200 725598
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:45:40 +0900] "GET /ykjkApp/resources/images/productImgUpload/20210623_015311502_540.png HTTP/1.1" 200 223391
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:46:21 +0900] "GET /ykjkApp/resources/images/logo_dark.png HTTP/1.1" 200 6084
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:46:29 +0900] "GET /ykjkApp/product/productList.do?categoryNo=3&pType=1&bName=All&sortVal= HTTP/1.1" 200 36537
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:46:32 +0900] "GET /ykjkApp/product/productList.do?categoryNo=4&pType=1&bName=All&sortVal= HTTP/1.1" 200 38309
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:46:54 +0900] "GET /ykjkApp/member/joinAccept.do HTTP/1.1" 200 5184
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:46:54 +0900] "GET /ykjkApp/resources/css/joinAccept.css HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:46:59 +0900] "POST /ykjkApp/product/member/memberLogin.do HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:47:00 +0900] "GET /ykjkApp/ HTTP/1.1" 200 28920
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:47:00 +0900] "POST /ykjkApp/product/selectProductImages.do HTTP/1.1" 200 1838
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:47:07 +0900] "GET /ykjkApp/resources/css/cart.css HTTP/1.1" 200 4942
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:47:07 +0900] "GET /ykjkApp/order/cart.or HTTP/1.1" 200 37152
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:47:10 +0900] "GET /ykjkApp/order/updateQuantity.or?cart_no=121&quantity=11 HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:47:10 +0900] "GET /ykjkApp/order/updateQuantity.or?cart_no=121&quantity=10 HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:47:11 +0900] "GET /ykjkApp/order/updateQuantity.or?cart_no=121&quantity=9 HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:47:11 +0900] "GET /ykjkApp/order/updateQuantity.or?cart_no=121&quantity=8 HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:47:11 +0900] "GET /ykjkApp/order/updateQuantity.or?cart_no=121&quantity=7 HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:47:11 +0900] "GET /ykjkApp/order/updateQuantity.or?cart_no=121&quantity=6 HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:47:11 +0900] "GET /ykjkApp/order/updateQuantity.or?cart_no=121&quantity=5 HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:47:11 +0900] "GET /ykjkApp/order/updateQuantity.or?cart_no=121&quantity=4 HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:47:12 +0900] "GET /ykjkApp/order/updateQuantity.or?cart_no=121&quantity=3 HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:47:12 +0900] "GET /ykjkApp/order/updateQuantity.or?cart_no=121&quantity=2 HTTP/1.1" 200 43
